Player,Team,Stat
Alan Bowman,Oklahoma State,396
Jaxson Dart,Ole Miss,377
Cameron Ward,Miami,346
Dillon Gabriel,Oregon,291
Garrett Nussmeier,LSU,285
Noah Fifita,Arizona,268
Brady Cook,Missouri,264
Isaac Wilson,Utah,239
Arch Manning,Texas,223
D.J. Uiagalelei,Florida State,201
Jalen Milroe,Alabama,196
Marcel Reed,Texas A&M,178
Cade McNamara,Iowa,176
Nico Iamaleava,Tennessee,173
Jackson Arnold,Oklahoma,169
Carson Beck,Georgia,160
Avery Johnson,Kansas State,156
CJ Bailey,NC State,156
Jalon Daniels,Kansas,153
Davis Warren,Michigan,122
Riley Leonard,Notre Dame,112
